date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:58:10	2619/2619	---M-Z	404	error ('Not%20Found')	text/html	etag:1552938761-ssl-df	https://jamigibbs.com/robots.txt		(from )
21:58:10	7765/7765	---M-Z	200	added ('OK')	text/html	etag:%227bb989a54bc728fb55f2790559559eec-ssl-df%22	https://jamigibbs.com/	C:/My%20Web%20Sites/website/jamigibbs.com/index.html	(from )
21:58:11	7148/7148	---M-Z	200	added ('OK')	text/css	etag:%22daef44438ed2664e9713dbc3922ad09c-ssl-df%22	https://jamigibbs.com/styles.css	C:/My%20Web%20Sites/website/jamigibbs.com/styles.css	(from https://jamigibbs.com/)
21:58:13	3910/3910	---M-Z	200	added ('OK')	application/xml	etag:%222305c82c9ab9fe65fbdb0f174ba0a173-ssl-df%22	https://jamigibbs.com/atom.xml	C:/My%20Web%20Sites/website/jamigibbs.com/atom.xml	(from https://jamigibbs.com/)
21:58:13	140731/140731	---M--	200	added ('OK')	image/png	etag:%2214379725c30edea8259c33e3426072b6-ssl%22	https://jamigibbs.com/public/favicon.png	C:/My%20Web%20Sites/website/jamigibbs.com/public/favicon.png	(from https://jamigibbs.com/)
21:58:15	46426/46426	---M--	200	added ('OK')	image/jpeg	etag:%220bf50265fe1445af2c248ea27936031a-ssl%22	https://jamigibbs.com/public/profile.jpg	C:/My%20Web%20Sites/website/jamigibbs.com/public/profile.jpg	(from https://jamigibbs.com/)
21:58:17	1934/1934	---M-Z	200	added ('OK')	text/css	etag:%225eb03f2b-78e%22	https://cdnjs.cloudflare.com/ajax/libs/normalize/3.0.3/normalize.min.css	C:/My%20Web%20Sites/website/cdnjs.cloudflare.com/ajax/libs/normalize/3.0.3/normalize.min.css	(from https://jamigibbs.com/styles.css)
21:58:17	50205/50205	---MC-	200	added ('OK')	text/javascript	date:Wed,%2013%20Apr%202022%2021:02:38%20GMT	http://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/website/www.google-analytics.com/analytics.js	(from https://jamigibbs.com/)
21:58:18	208319/208319	---M-Z	200	added ('OK')	text/css	etag:%225eb03e64-32dbf%22	https://cdnjs.cloudflare.com/ajax/libs/foundation/5.5.3/css/foundation.css	C:/My%20Web%20Sites/website/cdnjs.cloudflare.com/ajax/libs/foundation/5.5.3/css/foundation.css	(from https://jamigibbs.com/styles.css)
21:58:18	28759/28759	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:54%20GMT	https://maxcdn.bootstrapcdn.com/font-awesome/4.6.1/css/font-awesome.min.css	C:/My%20Web%20Sites/website/maxcdn.bootstrapcdn.com/font-awesome/4.6.1/css/font-awesome.min.css	(from https://jamigibbs.com/styles.css)
